species_gs,dbh,height
PICE.GLA,36,24
PICE.GLA,27,24
PICE.GLA,28,27
PICE.GLA,25,25
PICE.GLA,26,25
PICE.GLA,26,23
POPU.BAL,46,31
POPU.BAL,49,29
PICE.GLA,36,32
PICE.GLA,39,33
